from,to,connectivite,similarite
DEM,ECOLO,1,0
DEM,GDR-NUPES,1,0
DEM,HOR,1,0.967741935483871
DEM,LFI-NUPES,1,0
DEM,LIOT,1,0.0129032258064516
DEM,LR,1,0.575268817204301
DEM,NI,1,0
DEM,RE,1,0.967741935483871
DEM,RN,1,0
DEM,SOC,1,0
ECOLO,GDR-NUPES,1,1
ECOLO,HOR,1,0
ECOLO,LFI-NUPES,1,1
ECOLO,LIOT,1,0.6
ECOLO,LR,1,0.0833333333333333
ECOLO,NI,1,1
ECOLO,RE,1,0
ECOLO,RN,1,1
ECOLO,SOC,1,1
GDR-NUPES,HOR,1,0
GDR-NUPES,LFI-NUPES,1,1
GDR-NUPES,LIOT,1,0.6
GDR-NUPES,LR,1,0.0833333333333333
GDR-NUPES,NI,1,1
GDR-NUPES,RE,1,0
GDR-NUPES,RN,1,1
GDR-NUPES,SOC,1,1
HOR,LFI-NUPES,1,0
HOR,LIOT,1,0
HOR,LR,1,0.583333333333333
HOR,NI,1,0
HOR,RE,1,1
HOR,RN,1,0
HOR,SOC,1,0
LFI-NUPES,LIOT,1,0.6
LFI-NUPES,LR,1,0.0833333333333333
LFI-NUPES,NI,1,1
LFI-NUPES,RE,1,0
LFI-NUPES,RN,1,1
LFI-NUPES,SOC,1,1
LIOT,LR,1,0.183333333333333
LIOT,NI,1,0.6
LIOT,RE,1,0
LIOT,RN,1,0.6
LIOT,SOC,1,0.6
LR,NI,1,0.0833333333333333
LR,RE,1,0.583333333333333
LR,RN,1,0.0833333333333333
LR,SOC,1,0.0833333333333333
NI,RE,1,0
NI,RN,1,1
NI,SOC,1,1
RE,RN,1,0
RE,SOC,1,0
RN,SOC,1,1
