from,to,connectivite,similarite
DEM,ECOLO,1,1
DEM,GDR-NUPES,1,1
DEM,HOR,1,1
DEM,LFI-NUPES,1,1
DEM,LIOT,1,1
DEM,LR,1,1
DEM,NI,1,1
DEM,RE,1,1
DEM,RN,1,1
DEM,SOC,1,1
ECOLO,GDR-NUPES,1,1
ECOLO,HOR,1,1
ECOLO,LFI-NUPES,1,1
ECOLO,LIOT,1,1
ECOLO,LR,1,1
ECOLO,NI,1,1
ECOLO,RE,1,1
ECOLO,RN,1,1
ECOLO,SOC,1,1
GDR-NUPES,HOR,1,1
GDR-NUPES,LFI-NUPES,1,1
GDR-NUPES,LIOT,1,1
GDR-NUPES,LR,1,1
GDR-NUPES,NI,1,1
GDR-NUPES,RE,1,1
GDR-NUPES,RN,1,1
GDR-NUPES,SOC,1,1
HOR,LFI-NUPES,1,1
HOR,LIOT,1,1
HOR,LR,1,1
HOR,NI,1,1
HOR,RE,1,1
HOR,RN,1,1
HOR,SOC,1,1
LFI-NUPES,LIOT,1,1
LFI-NUPES,LR,1,1
LFI-NUPES,NI,1,1
LFI-NUPES,RE,1,1
LFI-NUPES,RN,1,1
LFI-NUPES,SOC,1,1
LIOT,LR,1,1
LIOT,NI,1,1
LIOT,RE,1,1
LIOT,RN,1,1
LIOT,SOC,1,1
LR,NI,1,1
LR,RE,1,1
LR,RN,1,1
LR,SOC,1,1
NI,RE,1,1
NI,RN,1,1
NI,SOC,1,1
RE,RN,1,1
RE,SOC,1,1
RN,SOC,1,1
